page_id,token,lemma,position,nameTag,udpipe.feats.Abbr,udpipe.feats.AdpType,udpipe.feats.Animacy,udpipe.feats.Aspect,udpipe.feats.Case,udpipe.feats.Degree,udpipe.feats.Foreign,udpipe.feats.Gender,udpipe.feats.Mood,udpipe.feats.NameType,udpipe.feats.NumForm,udpipe.feats.NumType,udpipe.feats.Number,udpipe.feats.Person,udpipe.feats.Polarity,udpipe.feats.PronType,udpipe.feats.Reflex,udpipe.feats.Tense,udpipe.feats.Variant,udpipe.feats.VerbForm,udpipe.feats.Voice,udpipe.misc.B-io,udpipe.misc.I-io,udpipe.misc.SpaceAfter
1,Rok,rok,1,O,,,Inan,,Nom,,,Masc,,,,,Sing,,,,,,,,,,,
1,1930,1930,2,B-ty,,,,,,,,,,,Digit,Card,,,,,,,,,,,,
1,sa,sa,3,O,,,,,,,Yes,,,,,,,,,,,,,,,,,No
1,>,>,4,O,,,,,,,Yes,,,,,,,,,,,,,,,,,No
1,/,/,5,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,oi,oi,6,O,Yes,,,,,,,,,,,,,,,,,,,,,,,No
1,6,6,7,O,,,,,,,,,,,Digit,Card,,,,,,,,,,,,
1,Zapeáno,zapeaný,8,O,,,,Perf,,Pos,,Neut,,,,,Sing,,Pos,,,,Short,Part,Pass,,,
1,v,v,9,O,,Prep,,,Acc,,,,,,,,,,,,,,,,,,,
1,protokoly,protokol,10,O,,,Inan,,Acc,,,Masc,,,,,Plur,,,,,,,,,,,
1,MINISTERSTVO,ministerstvo,11,B-io,,,,,Nom,,,Neut,,,,,Sing,,,,,,,,,,,
1,ŠKOLSTVÍ,školství,12,I-io,,,,,Gen,,,Neut,,,,,Sing,,,,,,,,,,,
1,A,a,13,I-io,,,,,,,,,,,,,,,,,,,,,,,,
1,NÁRODNÍ,národní,14,I-io,,,,,Gen,Pos,,Fem,,,,,Sing,,Pos,,,,,,,Yes,,
1,OSVĚTY,osvěta,15,I-io,,,,,Gen,,,Fem,,,,,Sing,,,,,,,,,,Yes,
1,č,číslo,16,O,Yes,,,,,,,Neut,,,,,,,,,,,,,,,,No
1,.,.,17,O,,,,,,,,,,,,,,,,,,,,,,,,
1,36,36,18,B-n_,,,,,,,,,,,Digit,Card,,,,,,,,,,,,No
1,.,.,19,O,,,,,,,,,,,,,,,,,,,,,,,,
