page_id,token,lemma,position,nameTag,udpipe.feats.Abbr,udpipe.feats.AdpType,udpipe.feats.Case,udpipe.feats.Foreign,udpipe.feats.Gender,udpipe.feats.NumForm,udpipe.feats.NumType,udpipe.feats.Number,udpipe.misc.B-pf,udpipe.misc.I-pf,udpipe.misc.SpaceAfter
3,V,v,1,O,,Prep,Loc,,,,,,,,
3,Anldaana,Anldaana,2,O,,,,Yes,,,,,,,
3,eloy,eloy,3,O,,,,Yes,,,,,,,No
3,/,/,4,O,,,,,,,,,,,No
3,u’w,u’w,5,O,,,,Yes,,,,,,,
3,zut,zut,6,O,,,,Yes,,,,,,,
3,(,(,7,O,,,,,,,,,,,No
3,‘*,‘*,8,O,,,,,,,,,,,No
3,k,k,9,O,Yes,,,,,,,,,,No
3,+,+,10,O,,,,,,,,,,,No
3,<,<,11,O,,,,Yes,,,,,,,
3,brdi,brdi,12,O,,,,Yes,,,,,,,
3,i,i,13,O,,,,Yes,,,,,,,
3,f,f,14,O,Yes,,,,,,,,,,
3,lvrl,lvrl,15,O,,,,Yes,,,,,,,
3,h,h,16,O,,,,Yes,,,,,,,
3,nALd,nald,17,O,,,,Yes,,,,,,,No
3,-,-,18,O,,,,,,,,,,,
3,/,/,19,O,,,,,,,,,,,
3,dlau,dlau,20,O,,,,Yes,,,,,,,
3,Upot,Upot,21,O,,,,Yes,,,,,,,No
3,",",",",22,O,,,,,,,,,,,
3,/,/,23,O,,,,,,,,,,,No
3,iL,IL,24,O,Yes,,,,,,,,,,
3,KalketC,Kalketc,25,O,,,,Yes,,,,,,,No
3,1,1,26,O,,,,,,Digit,Card,,,,
3,Mfouiudaat,Mfouiudaat,27,O,,,,Yes,,,,,,,
3,AnelaA,Anelaa,28,O,,,,Yes,,,,,,,
3,U,U,29,O,Yes,,,,,,,,,,No
3,.,.,30,O,,,,,,,,,,,No
3,^wi,^wi,31,O,,,,Yes,,,,,,,No
3,',',32,O,,,,,,,,,,,No
3,i^mIaa,i^miaa,33,O,,,,Yes,,,,,,,
3,elodn’w,elodn’w,34,O,,,,Yes,,,,,,,No
3,.,.,35,O,,,,,,,,,,,No
3,o,o,1,O,,Prep,Loc,,,,,,,,
3,ICrne’n’,Icrne’n’,2,O,,,,Yes,,,,,,,
3,arll,arll,3,O,,,,Yes,,,,,,,No
3,.,.,4,O,,,,,,,,,,,
3,ld,ld,5,O,,,,Yes,,,,,,,
3,o,o,6,O,Yes,,,,,,,,,,No
3,.,.,7,O,,,,,,,,,,,No
3,t,t,8,O,Yes,,,,,,,,,,
3,w‘,w‘,9,O,,,,Yes,,,,,,,
3,V,V,10,O,Yes,,,,,,,,,,
3,(,(,11,O,,,,,,,,,,,
3,clda,clda,12,O,,,Nom,,Fem,,,Sing,,,
3,19,19,13,O,,,,,,Digit,Card,,,,No
3,.,.,14,O,,,,,,,,,,,
3,Ka,Ka,15,O,,,,Yes,,,,,,,No
3,-,-,16,O,,,,,,,,,,,No
3,claa,claa,17,O,,,,Yes,,,,,,,
3,I,I,18,O,Yes,,,,,,,,,,
3,qr,qr,19,O,Yes,,,,,,,,,,No
3,0,0,20,O,,,,,,Digit,Card,,,,No
3,.,.,21,O,,,,,,,,,,,
3,V,V,1,B-P,Yes,,,,,,,,Yes,,No
3,.,.,2,I-P,,,,,,,,,,Yes,No
3,z,z,3,I-P,Yes,,,,,,,,,,No
3,.,.,4,I-P,,,,,,,,,,,No
